Id,MesDate,MesValue
0,2018-05-10 00:00:00Z,3
0,2018-05-10 00:00:01Z,5
0,2018-05-10 00:00:02Z,7
0,2018-05-10 00:00:03Z,9
0,2018-05-10 00:00:04Z,11
0,2018-05-10 00:00:05Z,10
0,2018-05-10 00:00:06Z,12
0,2018-05-10 00:00:07Z,11
0,2018-05-10 00:00:08Z,13
0,2018-05-10 00:00:09Z,12
0,2018-05-10 00:00:10Z,14
0,2018-05-10 00:00:11Z,16
0,2018-05-10 00:00:12Z,18
0,2018-05-10 00:00:13Z,20
0,2018-05-10 00:00:14Z,22
0,2018-05-10 00:00:15Z,24
0,2018-05-10 00:00:16Z,23
0,2018-05-10 00:00:17Z,25
0,2018-05-10 00:00:18Z,27
0,2018-05-10 00:00:19Z,29
0,2018-05-10 00:00:20Z,31
0,2018-05-10 00:00:21Z,33
0,2018-05-10 00:00:22Z,35
0,2018-05-10 00:00:23Z,37
0,2018-05-10 00:00:24Z,39
0,2018-05-10 00:00:25Z,41
0,2018-05-10 00:00:26Z,43
0,2018-05-10 00:00:27Z,45
0,2018-05-10 00:00:28Z,47
0,2018-05-10 00:00:29Z,49
0,2018-05-10 00:00:30Z,51
0,2018-05-10 00:00:31Z,50
0,2018-05-10 00:00:32Z,49
0,2018-05-10 00:00:33Z,51
0,2018-05-10 00:00:34Z,53
0,2018-05-10 00:00:35Z,55
0,2018-05-10 00:00:36Z,54
0,2018-05-10 00:00:37Z,56
0,2018-05-10 00:00:38Z,58
0,2018-05-10 00:00:39Z,57
0,2018-05-10 00:00:40Z,56
0,2018-05-10 00:00:41Z,58
0,2018-05-10 00:00:42Z,60
0,2018-05-10 00:00:43Z,59
0,2018-05-10 00:00:44Z,61
0,2018-05-10 00:00:45Z,63
0,2018-05-10 00:00:46Z,62
0,2018-05-10 00:00:47Z,64
0,2018-05-10 00:00:48Z,66
0,2018-05-10 00:00:49Z,68
0,2018-05-10 00:00:50Z,70
0,2018-05-10 00:00:51Z,72
0,2018-05-10 00:00:52Z,74
0,2018-05-10 00:00:53Z,73
0,2018-05-10 00:00:54Z,75
0,2018-05-10 00:00:55Z,77
0,2018-05-10 00:00:56Z,79
0,2018-05-10 00:00:57Z,81
0,2018-05-10 00:00:58Z,83
0,2018-05-10 00:00:59Z,82
0,2018-05-10 00:01:00Z,84
0,2018-05-10 00:01:01Z,86
0,2018-05-10 00:01:02Z,88
0,2018-05-10 00:01:03Z,87
0,2018-05-10 00:01:04Z,89
0,2018-05-10 00:01:05Z,91
0,2018-05-10 00:01:06Z,93
0,2018-05-10 00:01:07Z,95
0,2018-05-10 00:01:08Z,94
0,2018-05-10 00:01:09Z,93
0,2018-05-10 00:01:10Z,95
0,2018-05-10 00:01:11Z,97
0,2018-05-10 00:01:12Z,99
0,2018-05-10 00:01:13Z,101
0,2018-05-10 00:01:14Z,103
0,2018-05-10 00:01:15Z,105
0,2018-05-10 00:01:16Z,107
0,2018-05-10 00:01:17Z,109
0,2018-05-10 00:01:18Z,111
0,2018-05-10 00:01:19Z,113
0,2018-05-10 00:01:20Z,115
0,2018-05-10 00:01:21Z,114
0,2018-05-10 00:01:22Z,116
0,2018-05-10 00:01:23Z,118
0,2018-05-10 00:01:24Z,120
0,2018-05-10 00:01:25Z,122
0,2018-05-10 00:01:26Z,124
0,2018-05-10 00:01:27Z,126
0,2018-05-10 00:01:28Z,128
0,2018-05-10 00:01:29Z,127
0,2018-05-10 00:01:30Z,129
0,2018-05-10 00:01:31Z,128
0,2018-05-10 00:01:32Z,130
0,2018-05-10 00:01:33Z,132
0,2018-05-10 00:01:34Z,134
0,2018-05-10 00:01:35Z,136
0,2018-05-10 00:01:36Z,138
0,2018-05-10 00:01:37Z,140
0,2018-05-10 00:01:38Z,139
0,2018-05-10 00:01:39Z,141
0,2018-05-10 00:01:40Z,143
0,2018-05-10 00:01:41Z,145
0,2018-05-10 00:01:42Z,147
0,2018-05-10 00:01:43Z,146
0,2018-05-10 00:01:44Z,148
0,2018-05-10 00:01:45Z,150
0,2018-05-10 00:01:46Z,152
0,2018-05-10 00:01:47Z,154
0,2018-05-10 00:01:48Z,156
0,2018-05-10 00:01:49Z,158
0,2018-05-10 00:01:50Z,160
0,2018-05-10 00:01:51Z,159
0,2018-05-10 00:01:52Z,161
0,2018-05-10 00:01:53Z,163
0,2018-05-10 00:01:54Z,165
0,2018-05-10 00:01:55Z,167
0,2018-05-10 00:01:56Z,169
0,2018-05-10 00:01:57Z,171
0,2018-05-10 00:01:58Z,173
0,2018-05-10 00:01:59Z,172
0,2018-05-10 00:02:00Z,174
0,2018-05-10 00:02:01Z,173
0,2018-05-10 00:02:02Z,175
0,2018-05-10 00:02:03Z,177
0,2018-05-10 00:02:04Z,179
0,2018-05-10 00:02:05Z,178
0,2018-05-10 00:02:06Z,177
0,2018-05-10 00:02:07Z,176
0,2018-05-10 00:02:08Z,178
0,2018-05-10 00:02:09Z,180
0,2018-05-10 00:02:10Z,179
0,2018-05-10 00:02:11Z,181
0,2018-05-10 00:02:12Z,180
0,2018-05-10 00:02:13Z,182
0,2018-05-10 00:02:14Z,181
0,2018-05-10 00:02:15Z,183
0,2018-05-10 00:02:16Z,185
0,2018-05-10 00:02:17Z,187
0,2018-05-10 00:02:18Z,189
0,2018-05-10 00:02:19Z,191
0,2018-05-10 00:02:20Z,193
0,2018-05-10 00:02:21Z,195
0,2018-05-10 00:02:22Z,197
0,2018-05-10 00:02:23Z,199
0,2018-05-10 00:02:24Z,201
0,2018-05-10 00:02:25Z,203
0,2018-05-10 00:02:26Z,205
0,2018-05-10 00:02:27Z,207
0,2018-05-10 00:02:28Z,209
0,2018-05-10 00:02:29Z,211
0,2018-05-10 00:02:30Z,213
0,2018-05-10 00:02:31Z,215
0,2018-05-10 00:02:32Z,217
0,2018-05-10 00:02:33Z,219
0,2018-05-10 00:02:34Z,218
0,2018-05-10 00:02:35Z,217
0,2018-05-10 00:02:36Z,219
0,2018-05-10 00:02:37Z,221
0,2018-05-10 00:02:38Z,223
0,2018-05-10 00:02:39Z,225
0,2018-05-10 00:02:40Z,227
0,2018-05-10 00:02:41Z,229
0,2018-05-10 00:02:42Z,231
0,2018-05-10 00:02:43Z,233
0,2018-05-10 00:02:44Z,235
0,2018-05-10 00:02:45Z,237
0,2018-05-10 00:02:46Z,236
0,2018-05-10 00:02:47Z,238
0,2018-05-10 00:02:48Z,237
0,2018-05-10 00:02:49Z,239
0,2018-05-10 00:02:50Z,238
0,2018-05-10 00:02:51Z,240
0,2018-05-10 00:02:52Z,242
0,2018-05-10 00:02:53Z,241
0,2018-05-10 00:02:54Z,243
0,2018-05-10 00:02:55Z,245
0,2018-05-10 00:02:56Z,247
0,2018-05-10 00:02:57Z,246
0,2018-05-10 00:02:58Z,248
0,2018-05-10 00:02:59Z,250
0,2018-05-10 00:03:00Z,249
0,2018-05-10 00:03:01Z,251
0,2018-05-10 00:03:02Z,253
0,2018-05-10 00:03:03Z,255
0,2018-05-10 00:03:04Z,257
0,2018-05-10 00:03:05Z,259
0,2018-05-10 00:03:06Z,258
0,2018-05-10 00:03:07Z,260
0,2018-05-10 00:03:08Z,262
0,2018-05-10 00:03:09Z,261
0,2018-05-10 00:03:10Z,263
0,2018-05-10 00:03:11Z,265
0,2018-05-10 00:03:12Z,267
0,2018-05-10 00:03:13Z,269
0,2018-05-10 00:03:14Z,271
0,2018-05-10 00:03:15Z,273
0,2018-05-10 00:03:16Z,275
0,2018-05-10 00:03:17Z,274
0,2018-05-10 00:03:18Z,276
0,2018-05-10 00:03:19Z,278
0,2018-05-10 00:03:20Z,277
0,2018-05-10 00:03:21Z,276
0,2018-05-10 00:03:22Z,278
0,2018-05-10 00:03:23Z,280
0,2018-05-10 00:03:24Z,282
0,2018-05-10 00:03:25Z,284
0,2018-05-10 00:03:26Z,286
0,2018-05-10 00:03:27Z,288
0,2018-05-10 00:03:28Z,290
0,2018-05-10 00:03:29Z,289
0,2018-05-10 00:03:30Z,291
0,2018-05-10 00:03:31Z,293
0,2018-05-10 00:03:32Z,295
0,2018-05-10 00:03:33Z,294
0,2018-05-10 00:03:34Z,296
0,2018-05-10 00:03:35Z,298
0,2018-05-10 00:03:36Z,300
0,2018-05-10 00:03:37Z,302
0,2018-05-10 00:03:38Z,301
0,2018-05-10 00:03:39Z,303
0,2018-05-10 00:03:40Z,305
0,2018-05-10 00:03:41Z,307
0,2018-05-10 00:03:42Z,306
0,2018-05-10 00:03:43Z,308
0,2018-05-10 00:03:44Z,310
0,2018-05-10 00:03:45Z,312
0,2018-05-10 00:03:46Z,314
0,2018-05-10 00:03:47Z,313
0,2018-05-10 00:03:48Z,315
0,2018-05-10 00:03:49Z,314
0,2018-05-10 00:03:50Z,316
