"javascript",2016,6,481024
".net",2016,6,387930
"java",2016,6,275568
"sql",2016,6,256139
"php",2016,6,212269
"c++",2016,6,195560
"ruby-on-rails",2016,6,42842
"azure",2016,6,20371
"aws",2016,6,3183
"javascript",2016,5,1468070
".net",2016,5,1229724
"java",2016,5,880082
"sql",2016,5,717753
"php",2016,5,619763
"c++",2016,5,588383
"ruby-on-rails",2016,5,139459
"azure",2016,5,85402
"aws",2016,5,15450
"javascript",2016,4,1755594
".net",2016,4,1364451
"java",2016,4,1177377
"sql",2016,4,778371
"php",2016,4,712604
"c++",2016,4,649559
"ruby-on-rails",2016,4,185180
"azure",2016,4,129893
"aws",2016,4,22739
"javascript",2016,3,2093386
".net",2016,3,1645996
"java",2016,3,1408564
"php",2016,3,916578
"sql",2016,3,904741
"c++",2016,3,633969
"ruby-on-rails",2016,3,240108
"azure",2016,3,168856
"aws",2016,3,28950
"javascript",2016,2,2454937
".net",2016,2,1967723
"java",2016,2,1520712
"php",2016,2,1034184
"sql",2016,2,965502
"c++",2016,2,686134
"ruby-on-rails",2016,2,261506
"azure",2016,2,191277
"aws",2016,2,39802
"javascript",2016,1,2813351
".net",2016,1,2203138
"java",2016,1,1689542
"php",2016,1,1341573
"sql",2016,1,1123109
"c++",2016,1,716171
"ruby-on-rails",2016,1,298933
"azure",2016,1,212218
"aws",2016,1,39659
"javascript",2015,12,3221886
".net",2015,12,2542286
"java",2015,12,1863750
"php",2015,12,1604920
"sql",2015,12,1227723
"c++",2015,12,817320
"ruby-on-rails",2015,12,398408
"azure",2015,12,222009
"aws",2015,12,43199
"javascript",2015,11,3714994
".net",2015,11,2806636
"java",2015,11,2298167
"php",2015,11,1479933
"sql",2015,11,1325409
"c++",2015,11,940479
"ruby-on-rails",2015,11,354987
"azure",2015,11,215435
"aws",2015,11,53984
"javascript",2015,10,4517557
".net",2015,10,3579147
"java",2015,10,3179543
"php",2015,10,1741799
"sql",2015,10,1563790
"c++",2015,10,1099972
"ruby-on-rails",2015,10,451648
"azure",2015,10,232596
"aws",2015,10,65769
"javascript",2015,9,5505698
".net",2015,9,4384010
"java",2015,9,3649395
"php",2015,9,2058049
"sql",2015,9,1812633
"c++",2015,9,1092936
"ruby-on-rails",2015,9,612329
"azure",2015,9,315011
"aws",2015,9,66311
"javascript",2015,8,6055747
".net",2015,8,5374322
"java",2015,8,4206339
"php",2015,8,2381292
"sql",2015,8,2259267
"c++",2015,8,1287864
"ruby-on-rails",2015,8,648512
"azure",2015,8,307687
"aws",2015,8,111500
"javascript",2015,7,7225086
".net",2015,7,5953551
"java",2015,7,4832891
"php",2015,7,2896871
"sql",2015,7,2374874
"c++",2015,7,1490200
"ruby-on-rails",2015,7,654788
"azure",2015,7,340284
"aws",2015,7,178186
"javascript",2015,6,7903716
".net",2015,6,5978030
"java",2015,6,5277482
"php",2015,6,3634237
"sql",2015,6,2648756
"c++",2015,6,1338008
"ruby-on-rails",2015,6,767358
"azure",2015,6,335814
"aws",2015,6,50362
"javascript",2015,5,9298375
".net",2015,5,6928271
"java",2015,5,6107821
"php",2015,5,3564186
"sql",2015,5,3002336
"c++",2015,5,1701411
"ruby-on-rails",2015,5,876605
"azure",2015,5,435859
"aws",2015,5,41615
"javascript",2015,4,10121895
"java",2015,4,7002231
".net",2015,4,6958472
"php",2015,4,4105318
"sql",2015,4,3362222
"c++",2015,4,1825594
"ruby-on-rails",2015,4,983542
"azure",2015,4,409128
"aws",2015,4,39579
"javascript",2015,3,9861801
"java",2015,3,7696111
".net",2015,3,7583223
"php",2015,3,4263224
"sql",2015,3,3734510
"c++",2015,3,1975442
"ruby-on-rails",2015,3,1209598
"azure",2015,3,418514
"aws",2015,3,54723
"javascript",2015,2,11178997
".net",2015,2,8407067
"java",2015,2,7392759
"php",2015,2,4768834
"sql",2015,2,3958672
"c++",2015,2,1938816
"ruby-on-rails",2015,2,1141391
"azure",2015,2,427842
"aws",2015,2,75821
"javascript",2015,1,12046183
".net",2015,1,9201461
"java",2015,1,8192884
"php",2015,1,4704781
"sql",2015,1,4208976
"c++",2015,1,2033224
"ruby-on-rails",2015,1,1171100
"azure",2015,1,403733
"aws",2015,1,35347
"javascript",2014,12,11257165
".net",2014,12,8400107
"java",2014,12,8147324
"php",2014,12,4703432
"sql",2014,12,4553258
"c++",2014,12,2077420
"ruby-on-rails",2014,12,1346478
"azure",2014,12,321448
"aws",2014,12,82153
"javascript",2014,11,11940986
".net",2014,11,9785150
"java",2014,11,9401152
"sql",2014,11,4723152
"php",2014,11,4676382
"c++",2014,11,2362389
"ruby-on-rails",2014,11,1186931
"azure",2014,11,447605
"aws",2014,11,38727
"javascript",2014,10,13363691
".net",2014,10,12311152
"java",2014,10,10799885
"sql",2014,10,6487135
"php",2014,10,5323947
"c++",2014,10,2895655
"ruby-on-rails",2014,10,1470555
"azure",2014,10,450845
"aws",2014,10,81254
"javascript",2014,9,14945615
".net",2014,9,11462971
"java",2014,9,10562651
"sql",2014,9,6409729
"php",2014,9,5660140
"c++",2014,9,2823676
"ruby-on-rails",2014,9,1482245
"azure",2014,9,550356
"aws",2014,9,26411
"javascript",2014,8,16787260
".net",2014,8,13088844
"java",2014,8,10573912
"sql",2014,8,7997109
"php",2014,8,5792915
"c++",2014,8,2806024
"ruby-on-rails",2014,8,2049114
"azure",2014,8,497538
"aws",2014,8,17554
"javascript",2014,7,20586107
".net",2014,7,14552026
"java",2014,7,13588084
"sql",2014,7,7832978
"php",2014,7,6591218
"c++",2014,7,3160302
"ruby-on-rails",2014,7,2050882
"azure",2014,7,480770
"aws",2014,7,15126
"javascript",2014,6,18985130
".net",2014,6,15493352
"java",2014,6,12515057
"sql",2014,6,7183526
"php",2014,6,5889113
"c++",2014,6,3074785
"ruby-on-rails",2014,6,2305844
"azure",2014,6,412506
"aws",2014,6,7465
"javascript",2014,5,22930058
".net",2014,5,17143406
"java",2014,5,14071827
"sql",2014,5,8581403
"php",2014,5,8412387
"c++",2014,5,3629389
"ruby-on-rails",2014,5,2650908
"azure",2014,5,506242
"aws",2014,5,34483
"javascript",2014,4,26218434
".net",2014,4,21157110
"java",2014,4,17420449
"sql",2014,4,11611799
"php",2014,4,10097271
"c++",2014,4,4484218
"ruby-on-rails",2014,4,3443392
"azure",2014,4,642767
"aws",2014,4,31703
"javascript",2014,3,31422591
".net",2014,3,25287659
"java",2014,3,21492403
"sql",2014,3,14580364
"php",2014,3,11107309
"c++",2014,3,6105689
"ruby-on-rails",2014,3,3345817
"azure",2014,3,565695
"aws",2014,3,39713
"javascript",2014,2,33812055
".net",2014,2,26703773
"java",2014,2,19005474
"sql",2014,2,17176118
"php",2014,2,12073698
"c++",2014,2,5051826
"ruby-on-rails",2014,2,3290702
"azure",2014,2,523960
"aws",2014,2,30140
"javascript",2014,1,39239728
".net",2014,1,33191925
"java",2014,1,23082527
"sql",2014,1,18323078
"php",2014,1,13952943
"c++",2014,1,6305431
"ruby-on-rails",2014,1,4143697
"azure",2014,1,539411
"aws",2014,1,37649
"javascript",2013,12,34702604
".net",2013,12,30532421
"java",2013,12,22130870
"sql",2013,12,17859555
"php",2013,12,13943969
"c++",2013,12,6260628
"ruby-on-rails",2013,12,3564128
"azure",2013,12,744736
"aws",2013,12,27905
"javascript",2013,11,44501864
".net",2013,11,38742892
"java",2013,11,26624731
"sql",2013,11,22635882
"php",2013,11,14693015
"c++",2013,11,7671904
"ruby-on-rails",2013,11,4072548
"azure",2013,11,396763
"aws",2013,11,17482
"javascript",2013,10,53775303
".net",2013,10,45786160
"java",2013,10,32420863
"sql",2013,10,26950843
"php",2013,10,18656171
"c++",2013,10,9321250
"ruby-on-rails",2013,10,5227769
"azure",2013,10,756660
"aws",2013,10,17338
"javascript",2013,9,53768187
".net",2013,9,40049444
"java",2013,9,29430147
"sql",2013,9,26878623
"php",2013,9,17874252
"c++",2013,9,7794576
"ruby-on-rails",2013,9,5989210
"azure",2013,9,595463
"aws",2013,9,9106
"javascript",2013,8,51610915
".net",2013,8,42996691
"java",2013,8,30357427
"sql",2013,8,29553138
"php",2013,8,17870854
"c++",2013,8,7734875
"ruby-on-rails",2013,8,5948322
"azure",2013,8,1615429
"aws",2013,8,7043
"javascript",2013,7,53587289
".net",2013,7,43760643
"sql",2013,7,32410820
"java",2013,7,29817230
"php",2013,7,17650464
"c++",2013,7,8171702
"ruby-on-rails",2013,7,6119006
"azure",2013,7,716993
"aws",2013,7,19526
"javascript",2013,6,46292313
".net",2013,6,39432367
"java",2013,6,26847749
"sql",2013,6,23080418
"php",2013,6,17116040
"c++",2013,6,8190802
"ruby-on-rails",2013,6,4961890
"azure",2013,6,689313
"aws",2013,6,10351
"javascript",2013,5,52230522
".net",2013,5,44288127
"java",2013,5,30383254
"sql",2013,5,30307518
"php",2013,5,17137133
"c++",2013,5,9130428
"ruby-on-rails",2013,5,5386124
"azure",2013,5,661165
"aws",2013,5,2415
"javascript",2013,4,55773421
".net",2013,4,51646668
"java",2013,4,35558230
"sql",2013,4,33566766
"php",2013,4,19021936
"c++",2013,4,10201634
"ruby-on-rails",2013,4,5720463
"azure",2013,4,791532
"aws",2013,4,10183
"javascript",2013,3,59051376
".net",2013,3,54091138
"java",2013,3,36820431
"sql",2013,3,36787552
"php",2013,3,22013355
"c++",2013,3,11081863
"ruby-on-rails",2013,3,6728546
"azure",2013,3,992875
"javascript",2013,2,53188088
".net",2013,2,44557790
"sql",2013,2,33469213
"java",2013,2,31650482
"php",2013,2,17911114
"c++",2013,2,9404628
"ruby-on-rails",2013,2,5395229
"azure",2013,2,725437
"aws",2013,2,1910
"javascript",2013,1,56945542
".net",2013,1,48862442
"sql",2013,1,34375537
"java",2013,1,33257062
"php",2013,1,19084509
"c++",2013,1,10322033
"ruby-on-rails",2013,1,5753982
"azure",2013,1,773353
"aws",2013,1,362
"javascript",2012,12,46219934
".net",2012,12,41709248
"java",2012,12,29644835
